,,,,,,,
TX_ID,SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,TX_TYPE,TX_AMOUNT,TIMESTAMP,IS_FRAUD,ALERT_ID
1,6456,9069,TRANSFER,465.05,0,False,-1
2,7516,9543,TRANSFER,564.64,0,False,-1
3,2445,9356,TRANSFER,598.94,0,False,-1
4,2576,4617,TRANSFER,466.07,0,False,-1
5,3524,1773,TRANSFER,405.63,0,False,-1
6,7123,3327,TRANSFER,11.38,0,False,-1
7,7123,9711,TRANSFER,11.38,0,False,-1
8,7123,4660,TRANSFER,11.38,0,False,-1
9,7123,7018,TRANSFER,11.38,0,False,-1
10,7123,8957,TRANSFER,11.38,0,False,-1
11,7123,9637,TRANSFER,11.38,0,False,-1
12,7123,5746,TRANSFER,11.38,0,False,-1
13,7123,9915,TRANSFER,11.38,0,False,-1
14,7123,8293,TRANSFER,11.38,0,False,-1
15,7123,9816,TRANSFER,11.38,0,False,-1
16,7123,2060,TRANSFER,11.38,0,False,-1
17,7123,6491,TRANSFER,11.38,0,False,-1
18,8506,5360,TRANSFER,415.85,0,False,-1
19,382,8211,TRANSFER,0,0,False,-1
20,6613,9975,TRANSFER,162.3,0,False,-1
21,6613,2775,TRANSFER,162.3,0,False,-1
22,6613,9998,TRANSFER,162.3,0,False,-1
23,6613,9968,TRANSFER,162.3,0,False,-1
24,6613,9979,TRANSFER,162.3,0,False,-1
25,6613,9527,TRANSFER,162.3,0,False,-1
26,6613,5515,TRANSFER,162.3,0,False,-1
27,6613,361,TRANSFER,162.3,0,False,-1
28,6613,9261,TRANSFER,162.3,0,False,-1
29,6613,2626,TRANSFER,162.3,0,False,-1
30,6613,8184,TRANSFER,162.3,0,False,-1
31,8545,9466,TRANSFER,559.09,0,False,-1
32,4705,9310,TRANSFER,177.47,0,False,-1
33,4705,9797,TRANSFER,177.47,0,False,-1
34,4705,6997,TRANSFER,177.47,0,False,-1
35,4705,3972,TRANSFER,177.47,0,False,-1
36,4705,4325,TRANSFER,177.47,0,False,-1
37,4705,6824,TRANSFER,177.47,0,False,-1
38,4705,3150,TRANSFER,177.47,0,False,-1
39,4705,9394,TRANSFER,177.47,0,False,-1
40,7425,9047,TRANSFER,563.26,0,False,-1
41,1638,1996,TRANSFER,171.25,0,False,-1
42,1638,4154,TRANSFER,171.25,0,False,-1
43,1638,3386,TRANSFER,171.25,0,False,-1
44,1638,2509,TRANSFER,171.25,0,False,-1
45,1638,5506,TRANSFER,171.25,0,False,-1
46,1638,7482,TRANSFER,171.25,0,False,-1
47,14,7000,TRANSFER,80.91,0,False,-1
48,14,2909,TRANSFER,80.91,0,False,-1
49,1593,1338,TRANSFER,564.4,0,False,-1
50,8583,8553,TRANSFER,425.6,0,False,-1
51,8413,8255,TRANSFER,593.28,0,False,-1
52,7708,5130,TRANSFER,112.37,0,False,-1
53,7708,7211,TRANSFER,112.37,0,False,-1
54,7708,9178,TRANSFER,112.37,0,False,-1
55,7708,4484,TRANSFER,112.37,0,False,-1
56,7708,8358,TRANSFER,112.37,0,False,-1
57,7708,5046,TRANSFER,112.37,0,False,-1
58,7708,8458,TRANSFER,112.37,0,False,-1
59,7708,147,TRANSFER,112.37,0,False,-1
60,7708,3510,TRANSFER,112.37,0,False,-1
61,7708,5557,TRANSFER,112.37,0,False,-1
62,7708,7934,TRANSFER,112.37,0,False,-1
63,7708,9819,TRANSFER,112.37,0,False,-1
64,7708,5804,TRANSFER,112.37,0,False,-1
65,7803,8589,TRANSFER,379.08,0,False,-1
66,7072,9971,TRANSFER,12.94,0,False,-1
67,7072,7596,TRANSFER,12.94,0,False,-1
68,7072,6014,TRANSFER,12.94,0,False,-1
69,7072,9654,TRANSFER,12.94,0,False,-1
70,7072,9259,TRANSFER,12.94,0,False,-1
71,7072,2584,TRANSFER,12.94,0,False,-1
72,7072,8965,TRANSFER,12.94,0,False,-1
73,7072,9416,TRANSFER,12.94,0,False,-1
74,7072,9999,TRANSFER,12.94,0,False,-1
75,7072,3986,TRANSFER,12.94,0,False,-1
76,7072,9440,TRANSFER,12.94,0,False,-1
77,2423,7543,TRANSFER,575.46,0,False,-1
78,107,7970,TRANSFER,44.41,0,False,-1
79,107,9171,TRANSFER,44.41,0,False,-1
80,107,9392,TRANSFER,44.41,0,False,-1
81,5408,2238,TRANSFER,468.41,0,False,-1
82,6976,9739,TRANSFER,4.85,0,True,193
83,2523,447,TRANSFER,574.52,0,False,-1
84,4537,275,TRANSFER,482.55,0,False,-1
85,9421,6252,TRANSFER,479.82,0,False,-1
86,7503,7197,TRANSFER,530.95,0,False,-1
87,572,4859,TRANSFER,479.76,0,False,-1
88,2546,8650,TRANSFER,528.65,0,False,-1
89,455,9701,TRANSFER,536.2,0,False,-1
90,4468,572,TRANSFER,441.39,0,False,-1
91,4586,1600,TRANSFER,455.57,0,False,-1
92,6424,9672,TRANSFER,586.13,0,False,-1
93,1594,3937,TRANSFER,446.7,0,False,-1
94,3445,4383,TRANSFER,565.33,0,False,-1
95,8431,9366,TRANSFER,508.89,0,False,-1
96,577,5691,TRANSFER,587.41,0,False,-1
97,2497,3329,TRANSFER,428.85,0,False,-1
98,6460,8321,TRANSFER,471.94,0,False,-1
99,3547,7154,TRANSFER,474.22,0,False,-1
100,7435,9894,TRANSFER,586.45,0,False,-1
101,1731,3951,TRANSFER,102.43,0,False,-1
102,1731,3797,TRANSFER,102.43,0,False,-1
103,1731,7669,TRANSFER,102.43,0,False,-1
104,1731,7914,TRANSFER,102.43,0,False,-1
105,1731,6085,TRANSFER,102.43,0,False,-1
106,1731,4747,TRANSFER,102.43,0,False,-1
107,1418,3149,TRANSFER,404.23,0,False,-1
108,6462,8102,TRANSFER,448.63,0,False,-1
